Kabupaten/Kota,Tahun,TingkatTransisi_SMP_SMA
Bangkalan,2020,0.46175448352564996
Bangkalan,2021,0.4581181790269908
Bangkalan,2022,0.4724594662708969
Bangkalan,2023,0.469980597382013
Bangkalan,2024,0.4677047598627787
Bangkalan,2025,0.4681457579135895
Bangkalan,2026,0.46810439229011536
Banyuwangi,2020,0.3930596813394545
Banyuwangi,2021,0.38602132016612123
Banyuwangi,2022,0.3936699788870165
Banyuwangi,2023,0.3925597101284313
Banyuwangi,2024,0.3806678120564727
Banyuwangi,2025,0.3705946207046509
Banyuwangi,2026,0.3579114079475403
Blitar,2020,0.2716879826254826
Blitar,2021,0.2686697607136399
Blitar,2022,0.26722150705026493
Blitar,2023,0.26815907139261497
Blitar,2024,0.27110624833663544
Blitar,2025,0.2708338499069214
Blitar,2026,0.2708338499069214
Bojonegoro,2020,0.5032604185191772
Bojonegoro,2021,0.5084745762711864
Bojonegoro,2022,0.534066207067884
Bojonegoro,2023,0.5416718497325538
Bojonegoro,2024,0.550345983181804
Bojonegoro,2025,0.5593612194061279
Bojonegoro,2026,0.5593612194061279
Bondowoso,2020,0.44315970234688035
Bondowoso,2021,0.42424592626834623
Bondowoso,2022,0.4355970467996827
Bondowoso,2023,0.4411209259823332
Bondowoso,2024,0.4577486554985473
Bondowoso,2025,0.45518749952316284
Bondowoso,2026,0.4575433135032654
Gresik,2020,0.5890748175717259
Gresik,2021,0.5692474220930895
Gresik,2022,0.5912748339526582
Gresik,2023,0.594958951461904
Gresik,2024,0.5928615488139966
Gresik,2025,0.5977332592010498
Gresik,2026,0.5932062864303589
Jember,2020,0.35511336060458987
Jember,2021,0.36233006486232316
Jember,2022,0.35968105145382184
Jember,2023,0.36197879858657245
Jember,2024,0.362887657458717
Jember,2025,0.3629421293735504
Jember,2026,0.3629421293735504
Jombang,2020,0.4506517690875233
Jombang,2021,0.4431161821797178
Jombang,2022,0.4375088564545841
Jombang,2023,0.43928730095634483
Jombang,2024,0.44265809217577706
Jombang,2025,0.4423079192638397
Jombang,2026,0.4423079192638397
Kediri,2020,0.33189481068900273
Kediri,2021,0.33145710952371205
Kediri,2022,0.3364419951957044
Kediri,2023,0.34052445968043815
Kediri,2024,0.34507804048833257
Kediri,2025,0.35192111134529114
Kediri,2026,0.35192111134529114
Kota Batu,2020,0.5482060043934587
Kota Batu,2021,0.5602163461538462
Kota Batu,2022,0.5539249941765665
Kota Batu,2023,0.5538216197744618
Kota Batu,2024,0.5444078947368421
Kota Batu,2025,0.5449380874633789
Kota Batu,2026,0.5441562533378601
Kota Blitar,2020,0.5529233282763449
Kota Blitar,2021,0.5516598718695399
Kota Blitar,2022,0.5766501064584811
Kota Blitar,2023,0.5939609236234459
Kota Blitar,2024,0.5990400374619527
Kota Blitar,2025,0.6293481588363647
Kota Blitar,2026,0.642453134059906
Kota Kediri,2020,0.8788053671908815
Kota Kediri,2021,0.8936447111560987
Kota Kediri,2022,0.844982206405694
Kota Kediri,2023,0.8598586572438163
Kota Kediri,2024,0.8631438221221504
Kota Kediri,2025,0.8614373803138733
Kota Kediri,2026,0.8614373803138733
Kota Madiun,2020,0.5937143449849601
Kota Madiun,2021,0.5828831691558097
Kota Madiun,2022,0.6316196793808734
Kota Madiun,2023,0.6631729920564872
Kota Madiun,2024,0.6597960512041657
Kota Madiun,2025,0.6600952744483948
Kota Madiun,2026,0.6600952744483948
Kota Malang,2020,0.5818599971251976
Kota Malang,2021,0.5654612204781314
Kota Malang,2022,0.5738457464026131
Kota Malang,2023,0.5832277455284792
Kota Malang,2024,0.5969548730714679
Kota Malang,2025,0.6024341583251953
Kota Malang,2026,0.6076333522796631
Kota Mojokerto,2020,0.4775078461001976
Kota Mojokerto,2021,0.4719166184134337
Kota Mojokerto,2022,0.5090204625257295
Kota Mojokerto,2023,0.5428395061728395
Kota Mojokerto,2024,0.56455356052278
Kota Mojokerto,2025,0.5645266175270081
Kota Mojokerto,2026,0.5841770172119141
Kota Pasuruan,2020,0.4369880277252678
Kota Pasuruan,2021,0.4476768968456948
Kota Pasuruan,2022,0.46382978723404256
Kota Pasuruan,2023,0.48219746614242026
Kota Pasuruan,2024,0.4866198727791182
Kota Pasuruan,2025,0.4957532286643982
Kota Pasuruan,2026,0.5101195573806763
Kota Probolinggo,2020,0.46870717222476016
Kota Probolinggo,2021,0.5150234205415286
Kota Probolinggo,2022,0.5149384885764499
Kota Probolinggo,2023,0.5321458062993983
Kota Probolinggo,2024,0.5311160041719782
Kota Probolinggo,2025,0.5316689610481262
Kota Probolinggo,2026,0.5316689610481262
Kota Surabaya,2020,0.5046983960948396
Kota Surabaya,2021,0.5027517398096861
Kota Surabaya,2022,0.5205876325154174
Kota Surabaya,2023,0.5418798712703039
Kota Surabaya,2024,0.5463129581573315
Kota Surabaya,2025,0.5519804358482361
Kota Surabaya,2026,0.5519804358482361
Lamongan,2020,0.5715031163936802
Lamongan,2021,0.5543116316454243
Lamongan,2022,0.5651894856609389
Lamongan,2023,0.5742416794378741
Lamongan,2024,0.5894657767761694
Lamongan,2025,0.5975896120071411
Lamongan,2026,0.6208578944206238
Lumajang,2020,0.39268487351216297
Lumajang,2021,0.39453410952696344
Lumajang,2022,0.4094434955878167
Lumajang,2023,0.40642643061267164
Lumajang,2024,0.4069246296486366
Lumajang,2025,0.40687063336372375
Lumajang,2026,0.40687063336372375
Madiun,2020,0.41495007132667616
Madiun,2021,0.4204776997962418
Madiun,2022,0.4275604370718451
Madiun,2023,0.43420756416028816
Madiun,2024,0.4501087080901705
Madiun,2025,0.4569529592990875
Madiun,2026,0.4587748646736145
Magetan,2020,0.4331968933669186
Magetan,2021,0.44324094722310714
Magetan,2022,0.45198640322923306
Magetan,2023,0.45489663812904574
Magetan,2024,0.46375536813783824
Magetan,2025,0.478760689496994
Magetan,2026,0.4838326871395111
Malang,2020,0.3060979867333876
Malang,2021,0.30691438246465014
Malang,2022,0.30882170104549306
Malang,2023,0.3152367390530438
Malang,2024,0.3149206764010932
Malang,2025,0.314998984336853
Malang,2026,0.314998984336853
Mojokerto,2020,0.4091587854654057
Mojokerto,2021,0.39927975305819136
Mojokerto,2022,0.40237831071662256
Mojokerto,2023,0.40413209333407585
Mojokerto,2024,0.4102542772370574
Mojokerto,2025,0.40984177589416504
Mojokerto,2026,0.40984177589416504
Nganjuk,2020,0.4203733975737761
Nganjuk,2021,0.4232388756116991
Nganjuk,2022,0.43684316027605163
Nganjuk,2023,0.4528242707650195
Nganjuk,2024,0.4605967429677713
Nganjuk,2025,0.4811636209487915
Nganjuk,2026,0.4880448579788208
Ngawi,2020,0.34692269409422694
Ngawi,2021,0.33663163920350003
Ngawi,2022,0.33556105610561054
Ngawi,2023,0.3565300285986654
Ngawi,2024,0.37635094885541653
Ngawi,2025,0.3881421983242035
Ngawi,2026,0.40076082944869995
Pacitan,2020,0.24505726534007294
Pacitan,2021,0.2362831290508888
Pacitan,2022,0.23770385710587627
Pacitan,2023,0.24940295617375588
Pacitan,2024,0.2731286113094852
Pacitan,2025,0.2727816700935364
Pacitan,2026,0.2727816700935364
Pamekasan,2020,0.6354342524854624
Pamekasan,2021,0.6024124119515676
Pamekasan,2022,0.6082821942193283
Pamekasan,2023,0.6120429702223897
Pamekasan,2024,0.637340593208196
Pamekasan,2025,0.6638866066932678
Pamekasan,2026,0.6638866066932678
Pasuruan,2020,0.33686079891013476
Pasuruan,2021,0.33250464627935605
Pasuruan,2022,0.3359264497878359
Pasuruan,2023,0.32434424865044825
Pasuruan,2024,0.3176099910956871
Pasuruan,2025,0.3107985854148865
Pasuruan,2026,0.3107985854148865
Ponorogo,2020,0.4573973663826491
Ponorogo,2021,0.4542369969505648
Ponorogo,2022,0.45446657121784023
Ponorogo,2023,0.44741093444435
Ponorogo,2024,0.45513609919741815
Ponorogo,2025,0.45388540625572205
Ponorogo,2026,0.45481860637664795
Probolinggo,2020,0.4731722722248539
Probolinggo,2021,0.48640087034429796
Probolinggo,2022,0.48401856330479115
Probolinggo,2023,0.49552755288587097
Probolinggo,2024,0.49260307454814434
Probolinggo,2025,0.49302491545677185
Probolinggo,2026,0.49302491545677185
Sampang,2020,0.40486343956509
Sampang,2021,0.41264795400744
Sampang,2022,0.4156542382348834
Sampang,2023,0.4024911884474558
Sampang,2024,0.40152101490729214
Sampang,2025,0.40105095505714417
Sampang,2026,0.40105095505714417
Sidoarjo,2020,0.43772395012182885
Sidoarjo,2021,0.41985370682230133
Sidoarjo,2022,0.42821577850862824
Sidoarjo,2023,0.43810727545619715
Sidoarjo,2024,0.4444081952238027
Sidoarjo,2025,0.45473015308380127
Sidoarjo,2026,0.455333948135376
Situbondo,2020,0.49995274995274996
Situbondo,2021,0.49107227208313653
Situbondo,2022,0.51031277234434
Situbondo,2023,0.5230754500191498
Situbondo,2024,0.5324490087006133
Situbondo,2025,0.5321905016899109
Situbondo,2026,0.5321905016899109
Sumenep,2020,0.7349678925861063
Sumenep,2021,0.7110992061559441
Sumenep,2022,0.7411716884304659
Sumenep,2023,0.7631127319532339
Sumenep,2024,0.7666270783847982
Sumenep,2025,0.766391396522522
Sumenep,2026,0.766391396522522
Trenggalek,2020,0.3382064539133535
Trenggalek,2021,0.3426691562194363
Trenggalek,2022,0.3525431324221376
Trenggalek,2023,0.35563581905475045
Trenggalek,2024,0.37324543701511276
Trenggalek,2025,0.37729352712631226
Trenggalek,2026,0.3850356638431549
Tuban,2020,0.3811175337186898
Tuban,2021,0.3826424289057741
Tuban,2022,0.391525974025974
Tuban,2023,0.4064054427008119
Tuban,2024,0.41505671195313476
Tuban,2025,0.41493767499923706
Tuban,2026,0.4149573743343353
Tulungagung,2020,0.3670566519178045
Tulungagung,2021,0.37370260822801826
Tulungagung,2022,0.3726096662273742
Tulungagung,2023,0.3739971308644599
Tulungagung,2024,0.3816838837445806
Tulungagung,2025,0.3814215660095215
Tulungagung,2026,0.3814215660095215
