Kabupaten/Kota,Skor_R2_Lokal
Pacitan,0.6111440646068006
Ponorogo,0.6053948823645694
Trenggalek,0.6040215425177743
Magetan,0.6031629610161519
Tulungagung,0.6008040055394334
Madiun,0.6001282269077223
Kota Madiun,0.60010753242177
Ngawi,0.5969481436515931
Blitar,0.5944967059627155
Kota Blitar,0.5943624757365478
Kediri,0.5941840496199806
Kota Kediri,0.5940561577145328
Nganjuk,0.59133070342887
Bojonegoro,0.5777503057524955
Jombang,0.5749520527973803
Malang,0.5707622018549802
Kota Batu,0.5697913185684695
Kota Malang,0.5647556370927443
Tuban,0.5594845741624785
Mojokerto,0.5554609707741418
Kota Mojokerto,0.5553127882007111
Lamongan,0.5359092541466848
Sidoarjo,0.5307833771521768
Gresik,0.5247401007324539
Kota Surabaya,0.5215447549551381
Kota Pasuruan,0.512514097125186
Pasuruan,0.5124149257569999
Lumajang,0.4931138942641379
Bangkalan,0.4895226093802891
Kota Probolinggo,0.4885573348037871
Probolinggo,0.488467708533149
Sampang,0.4725851702555363
Jember,0.4648941257131341
Pamekasan,0.4643979622906626
Bondowoso,0.46113623675634635
Situbondo,0.45599929778211473
Sumenep,0.4539300618612124
Banyuwangi,0.44870876445463426
