conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,daerah,label
"1,98E+18",Wed Oct 15 07:30:45 +0000 2025,0,emang awal mula ajaran jongkok depan kyai ngasih duit sama minum bekas kyai siapa sih? senormalnya manusia belajar agama aja lah gak perlu segitunya. toh lu pada kalo mati gak akan di tanya udah berapa kali kamu minum air bekas kyai?,"1,98E+18",,,in,,0,0,0,https://x.com/undefined/status/1978362898733748620,"1,68E+18",,Kabupaten_Pamekasan,negatif
"1,98E+18",Wed Oct 15 07:30:43 +0000 2025,0,@toe_giman @banten_pemprov Gub dan wagub nya jadi agen perusak anak didik di sekolah dgn melindungi pelanggar disiplin lain kali si Dimyati suruh bikin aturan belajar boleh sekolah sambil merokok,"1,98E+18",,toe_giman,in,,0,0,0,https://x.com/undefined/status/1978362887811780824,"1,52E+09",,Kabupaten_Pamekasan,negatif
"1,98E+18",Wed Oct 15 07:30:41 +0000 2025,0,Gubernur Banten Andra Soni menanggapi kasus Kepala Sekolah Menengah Atas (SMA) di Kecamatan Cimarga Kabupaten Lebak yang menampar seorang siswa karena.. https://t.co/ervEfYGeYS https://t.co/3CWwQbWhq9,"1,98E+18",https://pbs.twimg.com/media/G3SOcrcasAAjVOF.jpg,,in,,0,0,0,https://x.com/undefined/status/1978362881469997209,"1,63E+18",,Kabupaten_Pamekasan,netral
"1,98E+18",Wed Oct 15 07:30:40 +0000 2025,0,Seorang siswa kelas VII SMP Negeri 1 Geyer di Kabupaten Grobogan Jawa Tengah meninggal dunia usai diduga menjadi korban bullying oleh teman-teman sekelasnya. Simak Selengkapnya Disini https://t.co/gaAEboIgg8 https://t.co/8gJraHM6HR,"1,98E+18",https://pbs.twimg.com/media/G3SOcsfbQAAbVi6.jpg,,in,,0,0,0,https://x.com/undefined/status/1978362877107904769,"4,83E+08",,Kabupaten_Pamekasan,negatif
"1,98E+18",Wed Oct 15 07:30:38 +0000 2025,0,@txtdrimedia Jaman gw waktu itu jikalau gw ketahuan dimarahin guru sebisa mungkin gw simpen jangan sampe ortu gw tau Hal itu. Karena gw tau konsekuensi kalo ketahuan ortu gw makin di gilez abis ama ortu gw . Lagian pake ketahuan ngerokok nya ama guru,"1,98E+18",,txtdrimedia,in,,0,0,0,https://x.com/undefined/status/1978362867964391603,"1,08E+18",,Kabupaten_Pamekasan,netral
"1,98E+18",Wed Oct 15 07:30:38 +0000 2025,0,@randomable_ Itu anak juga harus kena hukuman kok bisa ngerokok di sekolah. Cihhh itu kalo anak gw (naudzubillah) ngerokok di sekolah terus gw di panggil beuhh udah gw gampar bolak balik tu depan gurunya GA SOPAN kayak gw ga pernah ajarin ajaaa.,"1,98E+18",,randomable_,in,,0,0,0,https://x.com/undefined/status/1978362865758208207,"1,56E+18",,Kabupaten_Pamekasan,negatif
"1,98E+18",Wed Oct 15 07:30:38 +0000 2025,0,sore sebelum magrib ngaji sholat magrib abis magrib ngaji sampai isyak setelah itu belajar kalau sampai jam 11. tdr bangun lagi jam 3. makanya ketika anak2 ada kegiatan diluar ngaji seprti amaliyah kalau dpondok modern mereka bahagia lepas dr kegiatan belajar.,"1,98E+18",,,in,,0,0,0,https://x.com/undefined/status/1978362865590378512,"1,11E+08",,Kabupaten_Pamekasan,positif
"1,98E+18",Wed Oct 15 07:30:37 +0000 2025,0,Lokasi kegiatan pembenahan ini adalah di Ruang Rapat Bidang PKLK Dinas Pendidikan Kota Bandung. Kemenkum Jabar | Asep Sutandar.,"1,98E+18",,kemenkumjabar,in,,0,1,0,https://x.com/undefined/status/1978362864759902567,"1,18E+09",,Kabupaten_Pamekasan,netral
"1,98E+18",Wed Oct 15 07:30:36 +0000 2025,0,@WUching169 @toe_giman @Gerindra Tp itu sma negri om jatah ank yg bener2 mo sekolah jd berkurang itu. Klo sma swasta sebodo teing dah. Itu operational pk pajak rakyat. Masa mo sekolahin ank ancur pk pajak rakyat.,"1,98E+18",,WUching169,in,,0,0,0,https://x.com/undefined/status/1978362860490154469,"1,47E+09",,Kabupaten_Pamekasan,negatif
"1,98E+18",Wed Oct 15 07:30:36 +0000 2025,0,@Traagict Tadi sinyal di kampus jelek bjilll,"1,98E+18",,Traagict,in,,0,0,0,https://x.com/undefined/status/1978362857533153529,"1,95E+18",,Kabupaten_Pamekasan,netral
"1,98E+18",Wed Oct 15 07:30:32 +0000 2025,0,Pemkab Barru Galakkan Gerakan Ayah Mengantar Anak di Hari Pertama Sekolah - https://t.co/Q66BPn8ZXx,"1,98E+18",,,in,,0,0,0,https://x.com/undefined/status/1978362844467937630,"5,71E+08",,Kabupaten_Pamekasan,positif
"1,98E+18",Wed Oct 15 07:30:32 +0000 2025,0,@randomable_ Ada kok denda dr merokok di sekolah... Masukan saja ke ranah hukum Tdk perlu melakukan semuanya sendiri. Ikuti sistem yg ada... Kl ndk jatuhnya kyk begini... Kita ndk pernah tau mana ortu yg punya akal sehat mana yg tidak punya,"1,98E+18",,UncoverSakti,in,,0,0,0,https://x.com/undefined/status/1978362841317978602,"1,75E+18",,Kabupaten_Pamekasan,netral
"1,98E+18",Wed Oct 15 07:30:30 +0000 2025,0,@SosmedAnu Pantes kepala sekolah emosi dah tolol ngeroko pula!,"1,98E+18",,SosmedAnu,in,,0,0,0,https://x.com/undefined/status/1978362835534065915,61728941,,Kabupaten_Pamekasan,negatif
"1,98E+18",Wed Oct 15 07:30:30 +0000 2025,0,@PBPGRI_OFFICIAL hrs segera bersikap jangan diem bae bila perlu seluruh guru se indonesia mogok ngajar 1 minggu full. Bisa apa Indonesia tanpa profesi guru ? Di satu sisi guru2 jg hrs terus tingkatkan kemampuan kompetensi pedagogig nya spy lbh bisa memahami karakter murid2nya,"1,98E+18",,PBPGRI_OFFICIAL,in,,0,0,0,https://x.com/undefined/status/1978362833986334846,"3,72E+08",,Kabupaten_Pamekasan,positif
"1,98E+18",Wed Oct 15 07:30:28 +0000 2025,0,@hustrio @PartaiSocmed @realfedinuril Belajar jadi yang paling berjasa buat palestina,"1,98E+18",,hustrio,in,,0,0,0,https://x.com/undefined/status/1978362826533024150,"1,9E+08",,Kabupaten_Pamekasan,netral
